chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
W+2_RB4-_S03,2,3,4,1.47601,30183,0.0068463,1.00108,1.4776,1788,Col,46.3235292435
W+2_RB1in_S04,2,4,1,1.97835,97319,0.00691169,1.00406,1.98639,1788,Col,53.930551529
W+2_RB1out_S04,2,4,1,1.9667,89465,0.00655089,1.00391,1.97438,1788,Col,59.080596924
W+2_RB2in_S04,2,4,2,2.00156,96125,0.00862051,1.00397,2.00951,1788,Col,79.27760314950001
W+2_RB2out_S04,2,4,2,1.79893,78730,0.00712898,1.00263,1.80367,1788,Col,82.68111165366666
W+2_RB3+_S04,2,4,3,1.69662,35366,0.030415,1.00135,1.6989,1788,Col,92.544956207
W+2_RB3-_S04,2,4,3,1.76464,34737,0.00401321,1.00112,1.76662,1788,Col,86.433948517
W+2_RB4++_S04,2,4,4,1.60206,18861,0.00475665,1.00059,1.60301,1788,Col,86.9590644835
W+2_RB4+_S04,2,4,4,1.70439,26101,0.00261199,1.00078,1.70572,1788,Col,94.819774628
W+2_RB4--_S04,2,4,4,1.57124,19452,0.00339257,1.00048,1.57201,1788,Col,72.1003685
W+2_RB4-_S04,2,4,4,1.78065,25953,0.00473413,1.00069,1.78187,1788,Col,93.8615341185
W+2_RB1in_S05,2,5,1,1.99037,90156,0.00549717,1.00363,1.99761,1788,Col,53.064037323
W+2_RB1out_S05,2,5,1,2.31485,96828,0.00616797,1.00365,2.3233,1788,Col,58.6350688935
W+2_RB2in_S05,2,5,2,1.88008,86386,0.00544093,1.00328,1.88624,1788,Col,78.336688995
W+2_RB2out_S05,2,5,2,1.91873,79702,0.00714991,1.00253,1.92359,1788,Col,81.10524749766667
W+2_RB3+_S05,2,5,3,1.86338,36267,0.00508657,1.00108,1.86539,1788,Col,91.973705292
W+2_RB3-_S05,2,5,3,1.90404,37860,0.00377188,1.00126,1.90644,1788,Col,91.27406311050001
W+2_RB4+_S05,2,5,4,1.73945,30576,0.00386847,1.0012,1.74153,1788,Col,55.5211572645
W+2_RB4-_S05,2,5,4,1.79403,31758,0.0049147,1.00147,1.79667,1788,Col,58.061973572
W+2_RB1in_S06,2,6,1,1.94389,87545,0.00690559,1.00392,1.95152,1788,Col,52.429412842
W+2_RB1out_S06,2,6,1,1.95659,81392,0.00572129,1.00357,1.96357,1788,Col,57.451730728
W+2_RB2in_S06,2,6,2,1.92149,85370,0.00751761,1.00382,1.92883,1788,Col,79.3762283325
W+2_RB2out_S06,2,6,2,1.99028,78795,0.00841121,1.00263,1.99552,1788,Col,80.41457875566668
W+2_RB3+_S06,2,6,3,1.71868,32911,0.0052222,1.00131,1.72093,1788,Col,92.2758789065
